,title,category
133,내년도 최저임금 심의 공식 시작…새 공익위원에 박귀천 교수,Social
134,필로폰 투약하고 무면허 역주행…출동 경찰관도 폭행한 50대,Social
135,"심근경색 환자는 베타차단제 평생 복용?…""안정기라면 중단가능""",Social
136,이혁재 “15년만 젊었어도 휴대폰 던졌다”…‘한동훈 만세’ 외친 청년에 격앙,Social
137,강원도청 신청사 첫 삽…2029년 완공,Social
138,"""집중력 높이려고""…야구훈련 중 배트로 중학생 폭행한 감독",Social
139,"이원택 의원 ""전북 보훈수당 250% 인상하겠다""",Social
140,"""내 이상형이라""…30대 카페 여사장 등 뒤에서 몰카 찍은 유부남 [영상]",Social
141,대한조선 1분기 수에즈맥스급 원유운반선 12척 수주,Social
142,"""누명 옥살이 60년 만에""…납북귀환어부에 4300만원 형사보상",Social
143,'엄마'는 퇴근없이 17년 버텼다…위기아동 그룹홈의 '비명',Social
144,울산 아파트 단지서 초등생 SUV에 치여 숨져,Social
145,"""충격적인 '교회 여고생 학대 살해' 사건... 종교의 위험성 확인해""",Social
146,"'부천 금은방 업주 강도살인' 김성호, 무기징역 불복 항소",Social
147,"서울서 아내 살해 후 충북에 유기하려던 60대 남성, 아들 신고에 '덜미'",Social
148,폭행당해 숨진 故 김창민 감독…가해자 구속영장은 기각,Social
149,"경찰, '공천헌금 의혹' 조정훈 의원 내사 착수",Social
150,보령서 전기차 추돌 사고로 화재…30대 운전자 숨져,Social
151,중대재해 사업장 22곳 공개…경영책임자 24명 중 실형은 1명,Social
152,"후임병 성추행한 해병대원, 법원이 선처해준 이유는?",Social
153,호르무즈 해협서 고립됐던 실습 선원 2명 귀국,Social
154,벚꽃 속 하룻밤…상주 북천시민공원 '비박 페스티벌' 눈길,Social
155,"재혼 대체재로 등장한 '리얼돌'…""여성 찬성이 더 높다"" 반전",Social
156,"홍서범·조갑경 전 며느리 ""이제야 밀린 양육비 주겠다고 한다""",Social
157,"“안전은 비용 아닌 투자”…노동부, 중대재해 사업장 22곳 명단 공개",Social
158,"[주니어전자]캘리포니아 원전, 미국 최초로 생성형 AI 도입",Social
159,"전 창원시의회 의장 14명 ""강기윤 지지""",Social
160,기름값 2000원 코앞...줄 서서 찾는 ‘싼 주유소’ [더 한장],Social
161,짙은 안개 출근길 제주 평화로서 잇단 추돌사고…인명피해 없어,Social
162,"""유부남 상담사와 관계→상간녀 됐다""…기간제 교사가 폭로한 이유는",Social
163,"""집중력 높이려고"" 방망이로 때린 야구클럽 감독…아동 학대 혐의 인정",Social
164,"파주시, 종량제봉투 공급 2배 늘린다...사재기 자제 당부",Social
165,"""카드 명의 도용됐다""…130억 털어간 보이스피싱 조직 검거",Social
166,무소속 3인 출격… 거창군의원 선거 '공천 vs 민심' 격돌,Social
167,"""독감 걸려 죄송"" 40도 고열에도 출근…유치원 교사 생전 마지막 문자보니",Social
168,"'페르시아만 고립' 목포해양대생 4명 중 2명 귀국…""나머지도 귀환 노력""",Social
169,"호르무즈 고립됐던 실습 대학생 2명 귀국…""건강 이상 없어""",Social
170,'싼 주유소'에 몰린 대기줄‥새치기 했다며 '흉기',Social
171,'李대통령 명예훼손' 혐의 김미나 창원시의원 불구속 기소,Social
172,"""위생관리 위반'""…불고기·소시지·햄 제조업체 25곳 적발",Social
173,"""몇 년 만에 입으셨대요""…국밥집 식사 나눔에 쑥스러워하는 참전용사 [영상]",Social
174,"박상용 검사 ""종범 주장한 사람에게 진실 요구…회유가 될 수 없다""",Social
175,서울 서초구 아파트서 아내 살해한 60대⋯충북 이동해 시신 유기 시도,Social
176,"인천시, 수도권광역급행철도 GTX-B 본사 송도 확정",Social
177,“서부산 확 바뀐다”… 5060억원 행정타운 6월 착공,Social
178,"'성범죄 논란' 황석희, 뭐 감추려…""고소하겠다"" 10년 전 글 재조명",Social
179,"네타냐후 ""이번 전쟁 목표는 이란 핵 야욕 저지…절반 이상 달성""",Social
180,[단독] 역주행하고 경찰 폭행한 50대 남성 검거…알고보니 필로폰 투약,Social
181,돈 빌려주지 않는다는 이유로 지인 차에 불 지른 50대,Social
182,"성남시, 고액·상습 체납자 151명 명단공개…사전 안내문",Social
183,“회비 3억 원 미반환”…수영장 회원 5백 명 피해,Social
184,"해군작전사 강정학 상사, 조혈모세포 기증으로 '생명 나눔'",Social
185,"30대 남성, 음주단속 피해 사고낸 후 아들과 달아나...경찰관 부상",Social
186,부산 북구 강변대로서 4중 추돌사고…2명 경상,Social
187,[6.3 지방선거 TK 프리즘] 대구시장 선거 ‘4파전’ 급부상…컷오프 후폭풍에 보수 분열 현실화,Social
188,조갑경·홍서범 前 며느리 “여론 난리나니 양육비 주겠다고 연락 와”,Social
189,"""출근길이 꽉 막혔다"" 원촌육교 통제에… 대전 '교통 대란'",Social
190,"'빵' 경적에 버스 난입, 폭행하자 침뱉어 맞불…쌍방 입건",Social
191,"'금은방 강도살인' 김성호, ""양형 무겁다"" 항소",Social
192,"'금은방 업주 강도살인' 김성호, 무기징역 불복 항소",Social
193,"""복권은 확률상 불가능""...수학강사 '1등 5억' 당첨되자 ""놀라울 따름""",Social
194,이혼소송 중 아내 살해 후 시신 유기 시도…60대 남편 검거,Social
195,아내 살해 후 시신 유기…60대 남성 충북 음성서 체포,Social
196,2만분의 1 기적…15년 기다림 끝에 ‘생명 나눔’ 실천한 해군 부사관,Social
197,"""확률상 안돼"" 복권 안 믿던 수학 강사, 5억 '잭팟'…""친구들과 나눌 것""",Social
198,장기기증 4명 살리고 떠난 감독…폭행당해 숨진 거였다,Social
199,"음란채팅으로 만나 외도한 '무직' 남편 ""아파트는 부모 재산, 분할 못 한다""",Social
200,"'최저임금 처우로 백의종군...' 이런 계약서, 아직도 있습니다",Social
201,연기·강풍 뚫고 사나흘 밤샘 사투… ‘괴물 산불’ 잡는 영웅들,Social
202,"“부모님이 연락 안되요!” 신고한 아들…‘이혼 소송’ 엄마 살해한 아빠, 시신 유기하려다 ‘검거’",Social
203,대구 '악성 미분양' 13년8개월 만에 4000가구 넘어서,Social
204,중학교 갈 돈 없는 제게 ‘돼지장학금’ 주신 아빠 같은 선생님[보고싶습니다],Social
205,"""집중력 높이려고"" 중학생 선수 폭행한 야구 감독, 혐의 인정...송치 예정",Social
206,"행정수도특별법 또 ‘빈손’…세종 정치권, “유감, 조속처리 촉구”",Social
207,‘AI예술융합고’ 등장할까…경기교육청·용인시 맞손,Social
208,"""쓰러질 것 같아"" 독감에도 출근한 유치원 교사의 마지막 카톡",Social
209,"""강도살인을 저지르고도""…김성호, 무기징역 불복 항소",Social
210,상수도 공사 현장서 주차장 기둥 붕괴…60대 작업자 사망,Social
211,중국 거점 보이스피싱 콜센터 조직원 20명 검거…130억 가로채,Social
212,"[단독] ‘광양항 물류창고 특정기업 선정’ 여수광양항만공사, 거짓 해명 논란 확산",Social
213,尹 ‘이종섭 호주 도피 의혹’ 재판 오늘 본격 시작,Social
214,"[기고] 부끄러움을 잃은 정치, 그리고 나의 고백",Social
215,음료 3잔에 '횡령' 고소당한 알바생...갑론을박에 카페 불매운동까지 [지금이뉴스],Social
216,아내 살해 뒤 시신 유기 시도…60대 남편 음성서 검거,Social
217,조선시대 長壽 드물다? 겸재 정선 83세까지 살아[김규회의 뒤집어보는 상식],Social
218,“이길 여자가 없다”…‘최강 동안’ 94세 이길여 가천대 총장 근황에 ‘깜짝’,Social
219,주호영 “이순신 빼고 전쟁하나”…공천 파동 책임론 폭발,Social
220,"경인아라뱃길서 남성 추정 시신 발견…""신원 파악 중""",Social
221,화천 공설 장례식장 회삿돈 '1억 원' 횡령한 경리직원 송치,Social
222,"중동 사태로 고립 한국 실습선원 2명 귀국…""건강 이상 없어""(종합)",Social
223,“삼일절 위에 후지산이?”…국내 금융기관 ‘일본풍 달력’ 배포에 공분,Social
224,4명 살리고 떠난 김창민 감독…알고 보니 폭행 당해 사망,Social
225,"""맞으니까 잘한다고""⋯중학생 선수들 야구 배트로 폭행한 감독",Social
226,"서울 쓰레기 전쟁 확전…서북 자치구들 서로 ""안 받겠다"" 충돌",Social
227,서울 서초구 아파트서 아내 살해…주검 유기한 60대 검거,Social
228,"4명에 새 삶 주고 떠난 김창민 감독, 사인은 '폭행 사망'",Social
229,이혼소송 중 아내 살해...여행가방에 시신 넣어 야산 유기 시도한 60대 검거,Social
230,"""4월 월급 통장에 놀라지 마세요""…건강보험료 연말정산 '희비'",Social
231,“부모님 연락 안돼” 아들 신고로 잡혔다…아빠는 아내 살해후 야산으로,Social
232,"""음료 3잔 가져가""...점주 고소로 알바생 '횡령 혐의' 송치 논란",Social
233,“돈 안 빌려준다”···지인 차량에 불 지른 50대,Social
234,"""늘 먹는 반찬인데""…위생불량 식육가공업체 25곳 적발",Social
235,"GTX-B 본사, 인천 송도에 건립 확정…2031년 개통",Social
236,서초구서 아내 살해 뒤 충북 음성서 시신 유기하려던 60대 검거,Social
237,"홍서범·조갑경 전 며느리…""무시하더니 여론 난리 나니 양육비 준다고""",Social
238,주차요금 시비로 폭행 “가해자 이름도 몰라”…소액 범죄 피해자 구제,Social
239,"""왜 빵빵 거려""…경적 소리에 버스 올라타 기사 목 조른 40대",Social
240,검찰·금감원 사칭에 81명 ‘풍비박산’…보이스피싱에 130억원 날렸다,Social
241,아내 살해한 뒤 시신 유기하려던 60대 남성 검거,Social
242,인천 시내버스 7개 노선 신설·15개 노선 조정,Social
243,"성남시, 벚꽃길 명소 9경 소개…""도심 곳곳에서 봄 만끽""",Social
244,"[단독] ""우리가 김도기 기사""…사적 보복 대행 조직 총책 베트남에 있나",Social
245,"'장기기증' 김창민 감독, 아들 옆에서 폭행 당해 숨졌다... 뒤늦게 알려진 사망원인",Social
246,"강원도청 이전 '선포형 행정' 논란 확산...""거짓 착공인가, 졸속 행정인가""",Social
247,"[단독] ""순금 목걸이""라더니…전국 금은방 돌며 가짜 금 사기 덜미",Social
248,"""왜 돈 안 빌려줘"" 지인 차량에 불지른 50대 긴급체포",Social
249,새만금 RE100 산업단지 조성 박차…현대차 9조 투자 '마중물',Social
250,"경기도, 포승지구 개발계획 변경…외국인투자 확대·이주대책 해결",Social
251,"자율주행버스 A741, 일반버스 첫차보다 30분 일찍 출발",Social
252,수도권광역급행철도 GTX-B 본사 인천 송도 확정,Social
253,“엄마 연락두절” 신고…아버지가 살해뒤 야산에 유기하려했다,Social
254,지난해 하반기 중대재해 형 확정 22곳…경영책임자 실형은 1건뿐,Social
255,"박상용 검사 ""종범 주장한 사람에게 진실 말하란 게 회유인가""",Social
256,"서초구 아파트서 아내 살해, 야산 유기하려다 '덜미'",Social
257,인천 송도에 GTX-B 본사 건립,Social
258,"수목원 된 옛 쓰레기 매립지, 이제는 ‘탄소 돈’ 만든다…부산 첫 배출권 모델",Social
259,"'내로남불' 비판하며 학자로 돌아온 조희연 ""나도 자유로울 수 없다""",Social
260,“교습비 48만 원에 자습관비 따로 72만 원”… ‘꼼수 비용’ 판치는 학원가,Social
261,“몇 년 만에 제복 꺼냈다”…국밥 한 그릇에 웃은 참전용사,Social
262,훔친 번호판 부착해 대포차 무면허 운전한 외국인 유학생 검거,Social
263,작년 하반기 중대재해사업장 22곳…경영책임자 24명중 실형 1명,Social
264,[내일날씨] 곳곳 봄비…예년보다 포근,Social
265,중대재해 유죄 확정 22곳 공표…삼강에스앤씨 등 포함,Social
266,"'룰러' 박재혁, 탈세 논란 일파만파…""행정적 미숙"" 해명 [소셜픽]",Social
267,"에어부산, 국내선 전 노선 ‘4월 특가’…1만7900원부터 판매",Social
268,“부모님 연락두절” 신고한 아들…아빠가 엄마 살해 후 야산 갔다,Social
269,5250명 몰린 '경기청년 사다리'…28.4대1 경쟁률 기록,Social
270,국민의힘 거창군수 적합도 구인모 43.4%·이홍기 32.1%,Social
271,"서버 안 뚫고 벽 너머서 AI 설계도 털었다…카이스트, '모델스파이' 개발",Social
272,"영주서 상수도 공사 현장 담벼락 붕괴, 60대 심정지",Social
273,故김창민 감독 알고보니 폭행당해 뇌출혈…피의자 영장은 기각(종합),Social
274,"전쟁의 상처가 세계유산으로…부산 피란수도, 유네스코 문 두드린다",Social
275,영종·검단·강화 버스 노선 확충…인천시 36대 투입,Social
276,"서울 종로구, '물방울 예술가' 故 김창열 화백 자택 '공공미술공간'으로 리모델링",Social
277,"""맞으니까 잘하네""…중학생 선수 야구 배트로 폭행한 감독",Social
278,“규범 어겼다”며 직원 감금·협박한 장외주식 브로커 집행유예,Social
279,"여행용 가방에 아내 시신…""부모님 연락 안 돼"" 신고로 결국",Social
280,서울 아파트서 살해 후 충북 배수로에 시신 유기…60대 남편 검거,Social
281,'인천 시내버스' 노선 7개 신설·15개 조정…내달 말 시행,Social
282,"전남·광주, 통합시대 '지역성장펀드' 1250억 조성",Social
283,경기 광주 유통공장 화재로 5개 동 전소…인명 피해 없어,Social
284,"아시안게임 金, 병역면제까지 받았는데… 프로게이머 ‘룰러’ 탈세 추징",Social
285,김해 진영휴게소 진입로서 화물차 3중 추돌…40대 운전자 중상,Social
286,"풍성한 머리숱·꼿꼿한 자세...94세 이길여 총장, ‘최강 동안’ 근황",Social
287,경적 시비에 버스 올라 기사 폭행…승용차 운전자·버스 기사 입건,Social
288,[날씨] 오전까지 전국 비…영남 해안·제주 강풍,Social
289,"[건강포커스] ""항우울제 플루복사민, 코로나19 장기 후유증 피로 완화 효과""",Social
290,동해안 제외하고 비 그쳐…강풍·풍랑은 오후까지 이어져,Social
291,호르무즈 해협서 고립됐던 실습 선원 2명 귀국,Social
292,이혼소송 아내 살해하고 야산에 시신 유기하려던 60대 검거,Social
293,"""명의 도용됐다"" 130억 보이스피싱 일당 20명 무더기 검거",Social
294,"""맞으면 잘하더라"" 배트로 야구클럽 중학생 선수들 폭행한 감독",Social
295,영주 상수도 공사 중 주차장 담벼락 무너져···60대 노동자 사망,Social
296,'너무 눈부신 전광판'… 서울시 '밝기기준' 나왔다,Social
297,"""돈 왜 안 빌려줘"" 지인 차에 불 지른 50대",Social
298,"[기획] 전주 자임추모공원 사태, 전북도와 전주시 사이에서 멈춘 대응…“누구도 책임지지 않았다”",Social
299,“산불 발생 1년 지났는데”…이제서야 피해 복구에 속도감 낸다,Social
300,"""이상형이라서 찍어""... 카페 여주인 몰래 촬영한 50대 남성",Social
301,“집중력 높이려고”… 선수들 방망이로 폭행한 야구 클럽 감독,Social
302,삼일절 바로 위 후지산·오사카성 버젓이…금융권 달력 디자인 또 구설,Social
303,'창원자이 더스카이 31일 1순위 청약 … 올해 첫 분양 시민들 관심,Social
304,"""종량제봉투 없어요?"" 광주 마트서 실랑이…시 ""사재기 말고 필요한 만큼만""",Social
305,"파주시, 종량제봉투 공급 안정화 대책 추진",Social
306,내란 옹호하는 '윤어게인' 댓글이 많이 보이는 이유,Social
307,"""놀라셨죠? 다시 타세요""…유람선 사고 보상안 역풍",Social
308,지방의회 인사권 독립 5년차…집행부 공무원 입장차 뚜렷,Social
309,"""집중 안해?""…야구클럽 중학생 훈련중 배트로 폭행한 50대 감독",Social
310,광주서 폐차 번호판 부착 차량 몰던 20대 외국인 검거,Social
311,"""돈 왜 안 빌려줘""…지인 차에 불 지르고 자수한 50대 체포",Social
312,"""광주학살 원흉 처단"" 태극기 들고 외치던 청년들, 40년 만에 무죄",Social
313,폐차서 번호판 떼다 대포차 운전하고 다닌 우즈벡인,Social
314,사천공항~김포항공 노선 섬에어 신규 취항,Social
315,"'SNS 리딩방'서 2000만원 더 뜯으려던 말레이 30대, 잠복경찰에 덜미",Social
316,"""너무 아파""…'39.8도 고열 출근' 유치원 교사, 생전 마지막 문자 '먹먹'",Social
317,음료 3잔 가져간 알바생 '횡령 혐의' 송치 논란,Social
318,서초 아파트서 아내 살해…가방에 시신 넣어 음성까지 간 60대,Social
319,"""개발 못 한다""더니 분양 준비?…양평서 '48억 구상' 포착",Social
320,“기사 없는 열차가 미끄러지듯 달렸다”…부산·경남 잇는 국내 첫 ‘단선 무인 경전철’ 양산선 타보니,Social
321,“참전용사는 국밥 무료입니다”…제복 입고 찾아온 어르신,Social
322,"에어부산, 국내선 전 노선 대상 항공권 할인 이벤트 나서",Social
323,수도권광역급행철도 GTX-B 본사 인천 송도에…운영총괄,Social
324,"GTX-B 본사, 인천 송도에 둥지…열차 운행 총괄",Social
325,"초등생 아들 태우고 음주운전한 아빠, 사고 내고 도주했다 덜미",Social
326,"""못 하면 때린다""…배트로 중학생 야구 선수들 폭행한 감독",Social
327,"""94세 실화냐""…이길여, 다시 증명된 '최강 동안'",Social
